,,Symmetric,Asymmetric
Forecasting Horizon 1,RPI,0.018098678905514747,0.018669583463756828
Forecasting Horizon 1,W875RX1,0.008882401051164847,0.009159331461701588
Forecasting Horizon 1,DPCERA3M086SBEA,0.013010921906405836,0.012790407162878301
Forecasting Horizon 1,CMRMTSPLx,0.014933510813649383,0.014872348594646374
Forecasting Horizon 1,RETAILx,0.022706615426763978,0.022880480796183017
Forecasting Horizon 1,INDPRO,0.013778912212548459,0.013138627171878506
Forecasting Horizon 1,IPFPNSS,0.014229468108711979,0.013710166263821573
Forecasting Horizon 1,IPFINAL,0.0157099343029346,0.01540483057557924
Forecasting Horizon 1,IPCONGD,0.014345812178218799,0.014309208332893016
Forecasting Horizon 1,IPDCONGD,0.05379306458543955,0.05174594823166382
Forecasting Horizon 1,IPNCONGD,0.007986023928221085,0.008261812916597827
Forecasting Horizon 1,IPBUSEQ,0.02530133501290912,0.02413017471204537
Forecasting Horizon 1,IPMAT,0.014791645409413622,0.014259200419914532
Forecasting Horizon 1,IPDMAT,0.020276349924051727,0.019269849098363247
Forecasting Horizon 1,IPNMAT,0.01671921339290567,0.01669449057996619
Forecasting Horizon 1,IPMANSICS,0.01611416433213758,0.015312068910401598
Forecasting Horizon 1,IPB51222S,0.04589063153127609,0.04848709430113101
Forecasting Horizon 1,IPFUELS,0.027446263048617275,0.027400365431790894
Forecasting Horizon 1,CUMFNS,1.1076630578314466,1.0577572467968381
Forecasting Horizon 1,HWI,318.1678028938798,322.60815370087573
Forecasting Horizon 1,HWIURATIO,0.0815773654435716,0.0824270714993156
Forecasting Horizon 1,CLF16OV,0.003757836773456393,0.003762152665209835
Forecasting Horizon 1,CE16OV,0.011650171521657017,0.011381432462787482
Forecasting Horizon 1,UNRATE,0.773982461744602,0.7531013263980295
Forecasting Horizon 1,UEMPMEAN,1.3614784302992105,1.3578449983158638
Forecasting Horizon 1,UEMPLT5,0.15723396255271338,0.15556031386500363
Forecasting Horizon 1,UEMP5TO14,0.16085504391854205,0.15851391553624702
Forecasting Horizon 1,UEMP15OV,0.08982109836433036,0.09038510010570933
Forecasting Horizon 1,UEMP15T26,0.14713762759276922,0.14870016656129983
Forecasting Horizon 1,UEMP27OV,0.07802604461609411,0.07806965982863234
Forecasting Horizon 1,CLAIMSx,0.2014544488484813,0.19822442426230089
Forecasting Horizon 1,PAYEMS,0.010502235696596978,0.010826837244946872
Forecasting Horizon 1,USGOOD,0.009791322296945024,0.009769982015714515
Forecasting Horizon 1,CES1021000001,0.009652452158712459,0.010039753519560244
Forecasting Horizon 1,USCONS,0.012855751972325608,0.012803658075610562
Forecasting Horizon 1,MANEMP,0.008401407129345471,0.008639378225537401
Forecasting Horizon 1,DMANEMP,0.009256643677805224,0.009379041442848995
Forecasting Horizon 1,NDMANEMP,0.007357121327125856,0.007208341520056937
Forecasting Horizon 1,SRVPRD,0.010784673357581383,0.010804152477356844
Forecasting Horizon 1,USTPU,0.00881317922484725,0.008733703462698026
Forecasting Horizon 1,USWTRADE,0.005155398904594364,0.0053017818142270376
Forecasting Horizon 1,USTRADE,0.01176123785828493,0.01151438299583892
Forecasting Horizon 1,USFIRE,0.002745923906005326,0.0028011822223422164
Forecasting Horizon 1,USGOVT,0.004338337387566669,0.004408283800656944
Forecasting Horizon 1,CES0600000007,0.2874663943271559,0.32165611863135896
Forecasting Horizon 1,AWOTMAN,0.1314113179388531,0.13242980167952328
Forecasting Horizon 1,AWHMAN,0.2839822922352872,0.30962652858364564
Forecasting Horizon 1,HOUST,0.12369597279293808,0.17954476382497161
Forecasting Horizon 1,HOUSTNE,0.2646013568063309,0.2911931131746047
Forecasting Horizon 1,HOUSTMW,0.2593219437082572,0.31512883156374377
Forecasting Horizon 1,HOUSTS,0.12204643552972991,0.1622506427864813
Forecasting Horizon 1,HOUSTW,0.20219507863226166,0.25649549377190034
Forecasting Horizon 1,PERMIT,0.08940202559298698,0.1400287061168735
Forecasting Horizon 1,PERMITNE,0.1964949909010864,0.22470256500868413
Forecasting Horizon 1,PERMITMW,0.12374165058387311,0.1838466343800231
Forecasting Horizon 1,PERMITS,0.08903706766471024,0.13187591324663106
Forecasting Horizon 1,PERMITW,0.14390077583573863,0.20189087216291182
Forecasting Horizon 1,ACOGNO,0.028835042353478633,0.02988890728248985
Forecasting Horizon 1,AMDMNOx,0.04679040685110198,0.04736185755870795
Forecasting Horizon 1,ANDENOx,0.09711903588532421,0.09831969060061842
Forecasting Horizon 1,AMDMUOx,0.008685818099296,0.009221587832013841
Forecasting Horizon 1,BUSINVx,0.004243695783440071,0.004676071400198704
Forecasting Horizon 1,ISRATIOx,0.029265736880010065,0.029274367025809028
Forecasting Horizon 1,M1SL,0.14165285077276382,0.14187940232051122
Forecasting Horizon 1,M2SL,0.007358427610780379,0.007468496244449465
Forecasting Horizon 1,M2REAL,0.006484694504543542,0.0067026497229870485
Forecasting Horizon 1,BOGMBASE,0.04912269997445705,0.04885872010937649
Forecasting Horizon 1,TOTRESNS,0.12453996267699168,0.12310379774210198
Forecasting Horizon 1,NONBORRES,1.3370975458854124,1.3861919911276528
Forecasting Horizon 1,BUSLOANS,0.01666731279642223,0.016634689535487197
Forecasting Horizon 1,REALLN,0.00993075855710796,0.010054440272901507
Forecasting Horizon 1,NONREVSL,0.012156528764391966,0.012884771641775416
Forecasting Horizon 1,CONSPI,0.0029999918973317385,0.003079610986047237
Forecasting Horizon 1,S&P 500,0.038272668654725096,0.042283622341587994
Forecasting Horizon 1,S&P: indust,0.036895782841514575,0.04074371021057313
Forecasting Horizon 1,S&P div yield,0.0885904543311455,0.09724570671301644
Forecasting Horizon 1,S&P PE ratio,0.05639374753811817,0.06322292729322118
Forecasting Horizon 1,FEDFUNDS,0.14582264460683544,0.15495344246756176
Forecasting Horizon 1,CP3Mx,0.1743003341135185,0.19019992347666248
Forecasting Horizon 1,TB3MS,0.17663599537232708,0.17870399460493444
Forecasting Horizon 1,TB6MS,0.16022771473498537,0.16401179941979138
Forecasting Horizon 1,GS1,0.1638089910699728,0.16584433378514862
Forecasting Horizon 1,GS5,0.21036044847426316,0.219288261566118
Forecasting Horizon 1,GS10,0.2062697294302483,0.21956513327383126
Forecasting Horizon 1,AAA,0.1860839638395163,0.19612185605323224
Forecasting Horizon 1,BAA,0.21412276704395788,0.23104171086433584
Forecasting Horizon 1,COMPAPFFx,0.17448918713038977,0.1812555022932191
Forecasting Horizon 1,TB3SMFFM,0.13736336613549613,0.14284501531197502
Forecasting Horizon 1,TB6SMFFM,0.14641120698683124,0.15698239312159876
Forecasting Horizon 1,T1YFFM,0.16430419224711745,0.1746400216741786
Forecasting Horizon 1,T5YFFM,0.2679527149299938,0.3709157619366276
Forecasting Horizon 1,T10YFFM,0.2930727017442367,0.41786377084898396
Forecasting Horizon 1,AAAFFM,0.33493471180850254,0.4520870629727439
Forecasting Horizon 1,BAAFFM,0.4077926037375334,0.5406453654125475
Forecasting Horizon 1,TWEXAFEGSMTHx,0.015228532873333074,0.0165519811777055
Forecasting Horizon 1,EXSZUSx,0.022189023447522434,0.02413893842011958
Forecasting Horizon 1,EXJPUSx,0.021975629251135047,0.022712836463438423
Forecasting Horizon 1,EXUSUKx,0.021559951900298358,0.02304892678435172
Forecasting Horizon 1,EXCAUSx,0.018788823256721376,0.0192487408535391
Forecasting Horizon 1,WPSFD49207,0.01371278320726474,0.014155086837990369
Forecasting Horizon 1,WPSFD49502,0.018239318750846667,0.01870268509227244
Forecasting Horizon 1,WPSID61,0.01469613664142642,0.015259788392425679
Forecasting Horizon 1,WPSID62,0.06981748545197813,0.07431313531613415
Forecasting Horizon 1,OILPRICEx,0.1830343193038133,0.18613930577251198
Forecasting Horizon 1,PPICMM,0.06261117035856247,0.06223032245096478
Forecasting Horizon 1,CPIAUCSL,0.004545040121146593,0.00483465671342621
Forecasting Horizon 1,CPIAPPSL,0.010179779897334986,0.010359847008283855
